,food,quantity,nutrient
1599,Pepperoni,0.355,THIA
6490,Fast Fd,0.354,THIA
5439,Hush Puppies,0.35200000000000004,THIA
6650,Green Giant,0.35,THIA
6946,Popcorn,0.35,THIA
196,Chili Powder,0.349,THIA
212,Nutmeg,0.34600000000000003,THIA
5454,Pancakes Plain,0.344,THIA
232,Mustard,0.34299999999999997,THIA
1583,Knackwurst  Knockwurst  Pork  Bf,0.342,THIA
3676,Walnuts,0.341,THIA
5641,Archway Home Style Cookies,0.34,THIA
194,Celery Seed,0.34,THIA
189,Anise Seed,0.34,THIA
6489,Fst Fd,0.34,THIA
6478,"Little Caesars 14"" Original Rnd Pepperoni Pizza",0.33799999999999997,THIA
6441,Burger King,0.33399999999999996,THIA
6167,Rye Flour,0.331,THIA
4830,Worthington Veja-Links,0.33,THIA
218,Pepper,0.32799999999999996,THIA
122,Egg,0.325,THIA
1031,Chicken Breast Tenders,0.324,THIA
3618,Sunflower Sd Butter,0.324,THIA
6597,Popeyes,0.32299999999999995,THIA
206,Fenugreek Seed,0.322,THIA
4825,Worthington Super Links,0.32,THIA
6464,"Pizza Hut 12"" Pepperoni Pizza",0.32,THIA
5708,Corn-Based,0.32,THIA
1578,Ham And Cheese Spread,0.318,THIA
6164,Rye,0.316,THIA
4794,Soy Prot Conc,0.316,THIA
20,Cheese,0.315,THIA
6725,Tortellini,0.313,THIA
3712,Cashew Butter,0.312,THIA
4493,Pike,0.312,THIA
209,Mace,0.312,THIA
5727,Oriental Mix,0.311,THIA
4823,Worthington Prime Stakes,0.31,THIA
6227,Barley Malt Flr,0.309,THIA
6453,Taco Bell,0.307,THIA
3628,Beechnuts,0.304,THIA
4860,Morningstar Farms Chik Patties Original,0.3,THIA
4853,Morningstar Farms Grillers Prime,0.3,THIA
4454,Mussel,0.3,THIA
3012,Mushrooms,0.3,THIA
6645,Morningstar Farms America'S Original Veggie Dog,0.3,THIA
3281,Shallots,0.3,THIA
5413,Danish Pastry,0.3,THIA
3061,Peas&Onions,0.297,THIA
1593,Olive Loaf,0.295,THIA
1606,Pork Sausage,0.294,THIA
5299,Coffeecake,0.29100000000000004,THIA
1635,Oscar Mayer. Bologna (Wisconsin Made Ring),0.29,THIA
4864,Morningstar Farms Meatless Mini Corn Dogs,0.29,THIA
210,Marjoram,0.289,THIA
245,Spearmint,0.28800000000000003,THIA
6479,"Little Caesars 14"" Original Rnd Meat & Veg Pizza",0.28600000000000003,THIA
5588,Breakfast Tart,0.285,THIA
1181,Sauce,0.284,THIA
878,Quail,0.28300000000000003,THIA
881,Squab,0.28300000000000003,THIA
6293,Breakfast Items,0.282,THIA
7316,Dove,0.28,THIA
7274,Breakfast Bars,0.28,THIA
3040,Onion Rings,0.28,THIA
2357,Orange Juc,0.28,THIA
7215,Papad,0.27699999999999997,THIA
4496,Roe,0.27699999999999997,THIA
7144,Corned Bf & Potatoes In Tortilla (Apache),0.27699999999999997,THIA
5437,French Toast,0.27699999999999997,THIA
4622,Mungo Bns,0.273,THIA
1586,Liver Sausage,0.272,THIA
1715,Liverwurst Sprd,0.272,THIA
3144,Radishes,0.27,THIA
4863,Morningstar Farms Meatless Corn Dogs,0.27,THIA
4680,Peanut Butter,0.27,THIA
4813,Loma Linda Redi-Burger,0.27,THIA
4311,Cod,0.268,THIA
4134,Cocoa Mix,0.267,THIA
6466,"Pizza Hut 12"" Super Supreme Pizza",0.266,THIA
221,Poultry Seasoning,0.264,THIA
6461,"Pizza Hut 12"" Chs Pizza",0.264,THIA
3388,Cowpeas (Blackeyes),0.26,THIA
1720,Sausage  Polish  Pork & Bf  Smoked,0.26,THIA
2973,Horseradish-Tree Leafy Tips,0.257,THIA
6581,Fast Fds,0.254,THIA
202,Curry Powder,0.253,THIA
6420,Pizza,0.25,THIA
1560,Brotwurst,0.25,THIA
6773,Egg Rolls,0.25,THIA
1561,Cheesefurter,0.25,THIA
6050,Corn Cakes,0.25,THIA
1722,Sausage  Smmr  Pork & Bf  Stks  W/ Cheddar Chs,0.249,THIA
1724,Swisswurst  Pork & Bf  W/ Swiss Chs  Smoked,0.249,THIA
1721,Sausage  Pork & Bf  W/ Cheddar Chs  Smoked,0.249,THIA
1559,Braunschweiger (A Liver Sausage),0.249,THIA
5871,Puddings,0.248,THIA
1735,Beerwurst  Pork & Bf,0.24600000000000002,THIA
5753,Tortilla Chips,0.242,THIA
4819,Worthington Frichik,0.24,THIA
4812,Loma Linda Vege-Burger,0.24,THIA
1071,Ostrich,0.24,THIA
4821,Worthington Lofat Veja-Links,0.24,THIA
6885,Yeast Extract Spread,127.5,NIA
2144,Cereals Ready-To-Eat,90.56700000000001,NIA
4102,Leavening Agents,40.2,NIA
5604,Rice Bran,33.995,NIA
3640,Incaparina,27.0,NIA
4748,Peanut Flour,27.0,NIA
5726,Salmon,22.75,NIA
3348,Fish,22.07,NIA
4278,Meat Extender,22.021,NIA
2178,Cereals,20.31,NIA
1436,Beef,17.525,NIA
5872,Seeds,16.825,NIA
4079,Lamb,16.68,NIA
4750,Peanut Spread,16.385,NIA
4759,Peanuts,15.925,NIA
5312,Pork,15.300999999999998,NIA
6836,Whale,15.2,NIA
2397,Chicken,14.782,NIA
4746,Peanut Butter,14.6,NIA
6777,Veal,14.35,NIA
4435,Mushrooms,14.1,NIA
5435,Protein Supplement,14.0,NIA
6837,Wheat Bran,13.578,NIA
1772,Breakfast Bar,13.5,NIA
5732,Sandwich Spread,13.0,NIA
4738,Peanut Butter With Omega-3,12.875,NIA
5835,Seaweed,12.82,NIA
6593,Turkey,12.55,NIA
6799,Vegetarian Fillets,12.0,NIA
4162,Liver Cheese,11.767999999999999,NIA
6548,Turkey From Whole,11.75,NIA
4536,Nuts,11.732000000000001,NIA
5666,Ruffed Grouse,11.6,NIA
6258,Spices,11.6,NIA
5792,Sausage,11.195,NIA
4177,Luncheon Slices,11.11,NIA
3772,Kfc,10.897,NIA
3472,Game Meat,10.757,NIA
3029,Emu,10.569,NIA
4676,Parsley,10.4,NIA
2977,Duck,10.35,NIA
6800,Vegetarian Meatloaf Or Patties,10.0,NIA
1908,Canadian Bacon,9.988,NIA
2693,Corn Flour,9.932,NIA
4999,Popeyes,9.392999999999999,NIA
4631,Oscar Mayer,9.19,NIA
5602,Rice And Wheat Cereal Bar,9.091000000000001,NIA
6544,Turkey Breast,9.067,NIA
2357,Chicken Breast,9.055,NIA
6518,Tomatoes,9.05,NIA
6808,Waffles,8.888,NIA
3580,Guinea Hen,8.782,NIA
2352,Chick-Fil-A,8.763,NIA
4712,Pasta,8.691,NIA
4827,Peppers,8.669,NIA
4857,Pheasant,8.554,NIA
4468,Noodles,8.387,NIA
6422,T.G.I. Friday'S,8.387,NIA
1693,Braunschweiger (A Liver Sausage),8.368,NIA
3431,Fruit Juice Smoothie,8.333,NIA
2704,Corn,8.25,NIA
5507,Quail,8.2,NIA
4285,Milk And Cereal Bar,8.193999999999999,NIA
6414,Syrups,8.12,NIA
378,Bacon,8.102,NIA
2910,Denny'S,8.073,NIA
1809,Burger King,7.96,NIA
6803,Waffle,7.942,NIA
4665,Pancakes,7.895,NIA
51,Applebee'S,7.89,NIA
5010,Pork Loin,7.882999999999999,NIA
5605,Rice Cake,7.81,NIA
5556,Restaurant,7.76,NIA
5016,Pork Sausage,7.737,NIA
6371,Subway,7.727,NIA
6240,Spaghetti,7.654,NIA
2961,Dove,7.6,NIA
6843,Wheat Flour,7.553999999999999,NIA
1688,Bratwurst,7.551,NIA
4717,Pate,7.517,NIA
4242,Mcdonald'S,7.4,NIA
4639,Ostrich,7.364,NIA
4193,Macaroni,7.327999999999999,NIA
6304,Squab,7.322,NIA
6471,Toaster Pastries,7.23,NIA
6245,Spanish Rice Mix,7.178999999999999,NIA
2788,Crackers,7.17,NIA
2248,Cheese Puffs And Twists,7.14,NIA
4960,Pizza Hut,7.08,NIA
1799,Buckwheat,7.02,NIA
2777,Cracker Barrel,7.01,NIA
5625,Rice,7.005,NIA
5344,Potato Chips,7.0,NIA
6249,Spelt,6.843,NIA
6848,Wheat Germ,6.813,NIA
1745,Bread,6.81,NIA
4822,Pepperidge Farm,6.785,NIA
6849,Wheat,6.7379999999999995,NIA
6864,Wild Rice,6.733,NIA
2362,Chicken Patty,6.63,NIA
2015,Carrot,6.567,NIA
6246,Spearmint,6.561,NIA
1907,Canada Goose,6.56,NIA
4453,Mutton,6.52,NIA
2355,Chicken Breast Tenders,6.513999999999999,NIA
3515,Goose,6.5,NIA
2010,Carrabba'S Italian Grill,6.447,NIA
4652,Pancakes Plain,6.357,NIA
5607,Rice Flour,6.34,NIA
409,Barley Flour Or Meal,6.269,NIA
3443,Fungi,6.267,NIA
5393,Potatoes,6.263999999999999,NIA
5426,Poultry,6.246,NIA
1800,Buckwheat Flour,6.15,NIA
521,Beef Composite,6.148,NIA
5601,Rice And Vermicelli Mix,6.127000000000001,NIA
5719,Salami,6.105,NIA
4686,Pasta Mix,6.067,NIA
6825,Wendy'S,6.042000000000001,NIA
4337,Millet Flour,6.02,NIA
5885,Semolina,5.99,NIA
5815,School Lunch,5.985,NIA
1655,Bison,5.966,NIA
5725,Salmon Nuggets,5.9479999999999995,NIA
2365,Chicken Tenders,5.917000000000001,NIA
2587,Chives,5.9,NIA
2006,Caribou,5.89,NIA
2786,Cracker,5.707000000000001,NIA
3589,Ham,5.697,NIA
410,Barley Malt Flour,5.636,NIA
1671,Bockwurst,5.6160000000000005,NIA
5644,Roast Beef,5.581,NIA
4582,Olive Garden,5.58,NIA
3445,Game Meat ,5.57,NIA
2255,Cheese,5.56,NIA
2672,Cookies,5.537999999999999,NIA
5606,Rice Crackers,5.537000000000001,NIA
6161,Soup,5.5360000000000005,NIA
2865,Croutons,5.439,NIA
6873,Wonton Wrappers (Includes Egg Roll Wrappers),5.4239999999999995,NIA
4229,Mary'S Gone Crackers,5.39,NIA
5647,Rolls,5.367000000000001,NIA
2749,Cornmeal,5.291,NIA
5609,Rice Mix,5.263,NIA
6437,Taco Bell,5.17,NIA
1802,Buckwheat Groats,5.135,NIA
5642,Rice-A-Roni,5.122999999999999,NIA
1804,Bulgur,5.114,NIA
4713,Pastrami,5.065,NIA
4407,Muffins,5.0,NIA
4824,Pepperoni,4.987,NIA
2890,Crustaceans,4.898,NIA
4456,Nabisco,4.88,NIA
374,Bacon And Beef Sticks,4.867,NIA
6536,Tortillas,4.8580000000000005,NIA
4731,Peaches,4.825,NIA
4953,"Pizza Hut 14"" Pepperoni Pizza",4.82,NIA
4340,Millet,4.72,NIA
3377,Frankfurter,4.687,NIA
3162,Fireweed,4.6739999999999995,NIA
391,Bagels,4.651,NIA
413,Barley,4.604,NIA
3442,Frybread,4.603,NIA
2867,Crunchmaster,4.57,NIA
1647,Biscuits,4.542,NIA
3528,Grape Leaves,4.505,NIA
4958,"Pizza Hut 14"" Sausage Pizza",4.5,NIA
2613,Cookie,4.5,NIA
6037,Sorghum Flour,4.496,NIA
6550,Turkey Roast,4.4,NIA
111,Archway Home Style Cookies,4.37,NIA
98,Arby'S,4.343,NIA
6202,Soy Flour,4.32,NIA
6469,Thuringer,4.31,NIA
4164,Liverwurst Spread,4.3,NIA
4949,"Pizza Hut 14"" Cheese Pizza",4.3,NIA
4163,Liver Sausage,4.3,NIA
5670,Rye Flour,4.27,NIA
5673,Rye Grain,4.27,NIA
5431,Pretzels,4.27,NIA
5351,Potato Soup,4.27,NIA
5643,Roast Beef Spread,4.2,NIA
6871,Wocas,4.19,NIA
5488,Puff Pastry,4.168,NIA
3598,Honey Roll Sausage,4.165,NIA
3499,Garlic Bread,4.1419999999999995,NIA
6530,Tortilla,4.125,NIA
4190,Macaroni Or Noodles With Cheese,4.118,NIA
3553,Gravy,4.087,NIA
4862,Phyllo Dough,4.073,NIA
5814,Schiff,4.039,NIA
4946,"Pizza Hut 12"" Pepperoni Pizza",4.0280000000000005,NIA
4185,Macaroni And Cheese,4.003,NIA
6211,Soy Sauce Made From Soy (Tamari),3.951,NIA
5758,Sauce,3.917,NIA
4944,"Pizza Hut 12"" Cheese Pizza",3.91,NIA
1680,Bologna,3.9,NIA
3039,English Muffins,3.884,NIA
4182,Macaroni And Cheese Dinner With Dry Sauce Mix,3.8819999999999997,NIA
5813,Schar,3.875,NIA
6452,Taquitos,3.85,NIA
3797,Kraft,3.84,NIA
6465,Tart,3.8,NIA
6683,Udi'S,3.79,NIA
4355,Mollusks,3.78,NIA
4161,"Little Caesars 14"" Pepperoni Pizza",3.767,NIA
6801,Veggie Burgers Or Soyburgers,3.753,NIA
4160,"Little Caesars 14"" Original Round Pepperoni Pizza",3.737,NIA
3788,Kielbasa,3.727,NIA
2931,Digiorno Pizza,3.7230000000000003,NIA
6402,Sweet Rolls,3.7030000000000003,NIA
6038,Sorghum Grain,3.688,NIA
2989,Egg Rolls,3.63,NIA
2701,Corn Grain,3.627,NIA
4811,Peas,3.608,NIA
4420,Mushroom,3.6069999999999998,NIA
4948,"Pizza Hut 12"" Super Supreme Pizza",3.582,NIA
92,Apricots,3.58,NIA
4159,"Little Caesars 14"" Original Round Meat And Vegetable Pizza",3.5669999999999997,NIA
1827,Burrito,3.5660000000000003,NIA
4173,Luncheon Meat,3.53,NIA
4176,Luncheon Sausage,3.5269999999999997,NIA
2944,"Domino'S 14"" Cheese Pizza",3.51,NIA
6886,Yellow Rice With Seasoning,3.509,NIA
5345,Potato Flour,3.5069999999999997,NIA
4108,Leeks,3.5,NIA
6538,Tree Fern,3.5,NIA
2754,Couscous,3.49,NIA
4181,Luxury Loaf,3.4819999999999998,NIA
4100,Lean Pockets,3.4619999999999997,NIA
2946,"Domino'S 14"" Pepperoni Pizza",3.46,NIA
3582,Ham And Cheese Loaf Or Roll,3.452,NIA
4990,Polish Sausage,3.443,NIA
3601,Hot Pockets Ham 'N Cheese Stuffed Sandwich,3.425,NIA
3602,Hot Pockets,3.425,NIA
5519,Radishes,3.4,NIA
2983,Dutch Brand Loaf,3.384,NIA
5008,Popovers,3.378,NIA
6467,Teff,3.363,NIA
5012,Pork Sausage Rice Links,3.35,NIA
2949,"Domino'S 14"" Sausage Pizza",3.35,NIA
6228,Soymilk (All Flavors),3.292,NIA
3524,Granola Bar,3.29,NIA
1453,Beerwurst,3.2539999999999996,NIA
2945,"Domino'S 14"" Extravaganzza Feast Pizza",3.25,NIA
4158,"Little Caesars 14"" Original Round Cheese Pizza",3.237,NIA
4968,Pizza,3.235,NIA
4670,"Papa John'S 14"" Pepperoni Pizza",3.225,NIA
4104,Lebanon Bologna,3.2230000000000003,NIA
4671,"Papa John'S 14"" The Works Pizza",3.205,NIA
0,Beans,1225,FOLDFE
3,Cereals ready-to-eat,460,FOLDFE
4,Cornmeal,449,FOLDFE
5,Soybeans,422,FOLDFE
9,Cereals,400,FOLDFE
10,Edamame,358,FOLDFE
12,Seeds,319,FOLDFE
14,Wheat flour,251,FOLDFE
15,Cowpeas (blackeyes),244,FOLDFE
16,Asparagus,243,FOLDFE
18,Macaroni,234,FOLDFE
21,Pasta,227,FOLDFE
25,Orange juice,202,FOLDFE
31,Corn flour,185,FOLDFE
32,Peanuts,181,FOLDFE
34,Peas,173,FOLDFE
35,Turnip greens,170,FOLDFE
36,Soup,170,FOLDFE
38,Biscuits,150,FOLDFE
40,Beets,148,FOLDFE
43,Okra,141,FOLDFE
44,Spinach,136,FOLDFE
48,Nuts,130,FOLDFE
50,Desserts,121,FOLDFE
51,Cardoon,121,FOLDFE
56,Broccoli,105,FOLDFE
55,Bagels,105,FOLDFE
59,Corn,103,FOLDFE
61,Noodles,102,FOLDFE
69,Jute,90,FOLDFE
73,Boysenberries,87,FOLDFE
76,Garlic bread,80,FOLDFE
0,Cheese,1175,CA
1,Whey,1154,CA
7,Tofu,861,CA
10,Cheese spread,787,CA
11,Desserts,776,CA
14,Cheese substitute,689,CA
17,Cornmeal,508,CA
18,Soybeans,504,CA
21,Milk,473,CA
25,Nuts,370,CA
29,DIGIORNO Pizza,351,CA
31,Orange juice,349,CA
34,Eggnog,330,CA
35,Wheat flour,315,CA
36,Yogurt,311,CA
41,Amaranth leaves,276,CA
42,Beans,273,CA
0,Cereals ready-to-eat,16.24,FE
1,Cereals,16.2,FE
4,Beans,14.22,FE
9,Corn flour,9.69,FE
11,Seeds,9.52,FE
15,Soybeans,9.09,FE
16,Cornmeal,8.41,FE
19,Mollusks,7.83,FE
21,Apricots,7.51,FE
22,Blueberries,7.02,FE
25,Wheat flour,6.04,FE
30,Peaches,5.47,FE
31,Nuts,5.41,FE
33,Sausage,5.38,FE
36,Teff,5.17,FE
42,Liverwurst spread,4.87,FE
45,Chicken,4.63,FE
49,Corn grain,4.5,FE
50,Tomato products,4.45,FE
52,Desserts,4.44,FE
54,Asparagus,4.43,FE
55,Cookies,4.37,FE
56,Game meat,4.31,FE
58,Pasta,4.29,FE
61,Lima beans,4.17,FE
62,Oat flour,4.16,FE
64,Potatoes,4.08,FE
67,Barley flour or meal,3.97,FE
68,Soup,3.85,FE
69,Sorghum flour,3.8,FE
70,Passion-fruit,3.78,FE
72,Spinach,3.7,FE
74,Cowpeas (blackeyes),3.6,FE
75,Macaroni,3.6,FE
0,Seeds,1552,P
3,Whey,1351,P
4,Cheese spread,1225,P
5,Cornmeal,1107,P
6,Cheese,1067,P
7,Desserts,945,P
8,Beans,872,P
13,Biscuits,702,P
15,Cheese substitute,659,P
17,Nuts,650,P
25,Rice flour,532,P
26,Peanuts,530,P
27,Cereals ready-to-eat,526,P
32,Soybeans,497,P
35,Oat flour,470,P
37,Pork,447,P
38,DIGIORNO Pizza,441,P
39,Barley flour or meal,438,P
41,Fish,392,P
42,Milk,387,P
44,Corn grain,349,P
48,Sorghum flour,336,P
54,Pasta,312,P
56,Teff,302,P
57,Mollusks,296,P
67,Game meat,277,P
68,Eggnog,277,P
73,Chicken,274,P
78,Salami,272,P
79,Turkey,265,P
82,Beef,263,P
80,Corn flour,263,P
87,Pancakes,259,P
0,Soup,2493,NA
2,Cheese spread,2275,NA
3,Cornmeal,2242,NA
4,Cheese,1918,NA
8,Whey,1565,NA
9,Biscuits,1531,NA
10,Gravy,1475,NA
12,Pork,1417,NA
13,Tomato products,1350,NA
14,DIGIORNO Pizza,1274,NA
16,Fish,1218,NA
18,George Weston Bakeries,1126,NA
22,Noodles,1049,NA
23,Beans,1047,NA
35,Sausage,869,NA
39,Squash,849,NA
41,Potatoes,821,NA
48,CAMPBELL'S CHUNKY,790,NA
50,Cheese substitute,774,NA
52,Spinach,746,NA
54,Puddings,722,NA
56,Asparagus,695,NA
59,Kielbasa,672,NA
62,Bratwurst,648,NA
63,Milk,646,NA
68,Salami,623,NA
69,Frankfurter,620,NA
70,Tomato juice,615,NA
72,Rice,604,NA
73,Crustaceans,587,NA
75,Luncheon meat,580,NA
76,Turkey,576,NA
77,Pastrami,576,NA
78,Cereals,573,NA
79,Corn,571,NA
83,Tomatoes,564,NA
84,Hormel Pillow Pak Sliced Turkey Pepperoni,557,NA
85,Pillsbury,547,NA
91,POPEYES,528,NA
92,Sauce,522,NA
99,Ham,495,NA
100,Pork sausage,494,NA
101,Beerwurst,493,NA
103,Chicken,479,NA
0,Beans,3074,K
1,Whey,3016,K
4,Apricots,2202,K
5,Orange juice,1648,K
6,Potatoes,1644,K
7,Soybeans,1587,K
8,Salami,1372,K
9,Peaches,1341,K
10,Plantains,1315,K
11,Desserts,1155,K
12,Currants,1119,K
14,Tomato products,1098,K
15,Breadfruit,1078,K
18,Grapefruit juice,1002,K
20,Nuts,984,K
22,Lima beans,969,K
0,Seeds,649,MG
1,Nuts,385,MG
2,Beans,382,MG
5,Peanuts,260,MG
6,Whey,255,MG
10,Corn grain,211,MG
11,Cereals ready-to-eat,205,MG
15,Rice flour,177,MG
18,Soybeans,166,MG
19,Desserts,162,MG
20,Cornmeal,155,MG
21,Oat flour,150,MG
22,Sorghum flour,149,MG
23,Barley flour or meal,142,MG
25,Spinach,131,MG
26,Teff,126,MG
27,Lima beans,126,MG
28,Pasta,116,MG
30,Corn flour,106,MG
33,Plantains,97,MG
36,Orange juice,92,MG
38,Potatoes,90,MG
40,Cowpeas (blackeyes),86,MG
42,Soup,85,MG
1,Chicken,44.07,PROCNT
2,Beans,44.02,PROCNT
3,Fish,43.32,PROCNT
6,Pork,39.7,PROCNT
8,Peanuts,38.94,PROCNT
9,Turkey,37.23,PROCNT
10,Cheese,35.59,PROCNT
13,Seeds,35.21,PROCNT
16,Desserts,33.45,PROCNT
17,Soybeans,33.15,PROCNT
19,Game meat,32.1,PROCNT
27,Nuts,29.88,PROCNT
28,Beef,29.41,PROCNT
35,Lamb,27.2,PROCNT
37,Veal,26.81,PROCNT
70,Game meat ,23.84,PROCNT
73,DIGIORNO Pizza,23.42,PROCNT
90,Cheese spread,22.97,PROCNT
92,Turkey from whole,22.92,PROCNT
105,Crustaceans,22.45,PROCNT
117,Tofu,21.76,PROCNT
159,Whey,18.75,PROCNT
164,Soup,18.1,PROCNT
166,Mollusks,17.85,PROCNT
168,Guinea hen,17.54,PROCNT
174,Cereals ready-to-eat,16.68,PROCNT
179,Wheat flour,16.41,PROCNT
183,Squab,15.7,PROCNT
184,Corn grain,15.64,PROCNT
185,Barley flour or meal,15.54,PROCNT
186,Oat flour,15.25,PROCNT
188,Salami,15.01,PROCNT
192,Milk,14.65,PROCNT
193,Pasta,14.48,PROCNT
195,Cowpeas (blackeyes),14.43,PROCNT
197,Cornmeal,14.3,PROCNT
198,Pork sausage,14.24,PROCNT
204,Sausage,13.55,PROCNT
205,Edamame,13.24,PROCNT
206,Rice,13.19,PROCNT
208,Cheese substitute,12.96,PROCNT
215,Lima beans,12.45,PROCNT
228,Eggnog,11.56,PROCNT
230,Rice flour,11.42,PROCNT
232,Pastrami,11.17,PROCNT
235,Macaroni,11.04,PROCNT
240,Peas,10.56,PROCNT
241,Bagels,10.45,PROCNT
242,POPEYES,10.39,PROCNT
247,Sorghum flour,10.2,PROCNT
0,Pork,2169,CHOLE
1,Desserts,1131,CHOLE
2,Chicken,536,CHOLE
5,Egg,260,CHOLE
12,Eggnog,150,CHOLE
13,Cheese,139,CHOLE
15,Cream,136,CHOLE
14,Fish,136,CHOLE
20,Turkey,127,CHOLE
31,Veal,105,CHOLE
32,Lamb,105,CHOLE
34,Sausage,101,CHOLE
41,Beef,97,CHOLE
44,Game meat,94,CHOLE
45,Pasta,93,CHOLE
55,Salami,90,CHOLE
75,Squab,81,CHOLE
89,Cheese spread,77,CHOLE
91,Crustaceans,76,CHOLE
99,Cream puff,75,CHOLE
108,Game meat ,73,CHOLE
131,Mollusks,67,CHOLE
141,Milk,66,CHOLE
144,Liverwurst spread,65,CHOLE
0,Syrups,219.24,CHOCDF
2,Rice,147.91,CHOCDF
3,Beans,134.8,CHOCDF
4,Desserts,129.85,CHOCDF
5,Cornmeal,124.83,CHOCDF
7,Corn grain,123.27,CHOCDF
9,Rice flour,120.84,CHOCDF
11,Cranberry sauce,111.91,CHOCDF
12,Currants,110.85,CHOCDF
13,Barley flour or meal,110.29,CHOCDF
14,Whey,107.97,CHOCDF
18,Wheat flour,99.37,CHOCDF
19,Apricots,98.64,CHOCDF
23,Sorghum flour,92.73,CHOCDF
24,Orange juice,92.2,CHOCDF
25,Blueberries,90.34,CHOCDF
26,Corn flour,87.31,CHOCDF
27,Puddings,86.76,CHOCDF
28,Pears,86.22,CHOCDF
29,Plantains,86.1,CHOCDF
30,Peaches,82.62,CHOCDF
33,Flan,77.86,CHOCDF
35,Gelatin desserts,76.92,CHOCDF
37,Biscuits,76.08,CHOCDF
38,Grapefruit juice,71.54,CHOCDF
39,Pasta,71.32,CHOCDF
41,Oat flour,68.33,CHOCDF
46,Nuts,66.03,CHOCDF
47,Cereals ready-to-eat,65.73,CHOCDF
49,Potatoes,64.11,CHOCDF
50,Macaroni,62.9,CHOCDF
51,Breadfruit,59.66,CHOCDF
53,DIGIORNO Pizza,58.16,CHOCDF
55,Boysenberries,57.11,CHOCDF
58,Passion-fruit,55.18,CHOCDF
6124,Corn Bran,79.0,FIBTG
3587,Fungi,70.09999847,FIBTG
197,Cinnamon,53.09999847,FIBTG
1951,Cereals Rte,50.0,FIBTG
226,Savory,45.70000076,FIBTG
7162,Pinon Nuts,43.40000153,FIBTG
6179,Wheat Bran,42.79999924,FIBTG
214,Spices,42.79999924,FIBTG
223,Rosemary,42.59999847,FIBTG
200,Coriander Seed,41.90000153,FIBTG
225,Sage,40.29999924,FIBTG
210,Marjoram,40.29999924,FIBTG
205,Fennel Seed,39.79999924,FIBTG
4595,Carob Flour,39.79999924,FIBTG
192,Caraway Seed,38.0,FIBTG
3599,Chia Seeds,37.70000076,FIBTG
215,Paprika,37.40000153,FIBTG
196,Chili Powder,34.20000076,FIBTG
198,Cloves,34.20000076,FIBTG
6074,Cocoa,33.90000153,FIBTG
202,Curry Powder,33.20000076,FIBTG
3276,Parsley,32.70000076,FIBTG
4608,Lentils,30.5,FIBTG
245,Spearmint,29.79999924,FIBTG
3563,Peppers,28.70000076,FIBTG
7398,Celery Flakes,27.79999924,FIBTG
3701,Seeds,27.29999924,FIBTG
218,Pepper,27.20000076,FIBTG
3267,Chives,26.20000076,FIBTG
4624,Peas,25.5,FIBTG
4562,Beans,25.20000076,FIBTG
4592,Broadbeans (Fava Beans),25.0,FIBTG
206,Fenugreek Seed,24.60000038,FIBTG
7159,Rose Hips,24.10000038,FIBTG
3308,Carrot,23.60000038,FIBTG
4151,Coffee Sub,23.29999924,FIBTG
5395,Crackers,22.89999962,FIBTG
6165,Rye Flour,22.60000038,FIBTG
188,Allspice,21.60000038,FIBTG
229,Turmeric,21.10000038,FIBTG
203,Dill Seed,21.10000038,FIBTG
5528,Leavening Agents,21.0,FIBTG
6162,Rice Bran,21.0,FIBTG
212,Nutmeg,20.79999924,FIBTG
4613,Lima Bns,20.60000038,FIBTG
7141,Corn,20.5,FIBTG
209,Mace,20.20000076,FIBTG
7160,Chokecherries,20.0,FIBTG
220,Poppy Seed,19.5,FIBTG
2174,Cereals,19.39999962,FIBTG
6527,Mcdonald'S,18.79999924,FIBTG
248,Campbell Soup Co,18.79999924,FIBTG
7215,Papad,18.60000038,FIBTG
6121,Bulgur,18.29999924,FIBTG
4622,Mungo Bns,18.29999924,FIBTG
5764,Baking Choc,18.10000038,FIBTG
4788,Soybeans,17.70000076,FIBTG
4655,Soy Flour,17.5,FIBTG
4644,Meat Extender,17.5,FIBTG
4596,Chickpeas (Garbanzo Bns,17.39999962,FIBTG
6114,Barley,17.29999924,FIBTG
3610,Sesame Sd Krnls,16.89999962,FIBTG
3225,Tomato Powder,16.5,FIBTG
4619,Mung Bns,16.29999924,FIBTG
3645,Coconut Meat,16.29999924,FIBTG
4791,Soy Flr,16.0,FIBTG
4639,Peanut Flour,15.80000019,FIBTG
7150,Agave,15.60000038,FIBTG
6139,Oat Bran,15.39999962,FIBTG
6053,Popcorn,15.10000038,FIBTG
4640,Pigeon Peas (Red Gm),15.0,FIBTG
3598,Breadnuttree Seeds,14.89999962,FIBTG
211,Mustard Seed,14.69999981,FIBTG
6172,Triticale Flr,14.60000038,FIBTG
6164,Rye,14.60000038,FIBTG
189,Anise Seed,14.60000038,FIBTG
2400,Persimmons,14.5,FIBTG
5282,Bread Stuffing,14.30000019,FIBTG
5258,Bread,14.30000019,FIBTG
235,Thyme,14.0,FIBTG
3609,Sesame Seeds,14.0,FIBTG
3700,Almonds,13.69999981,FIBTG
204,Dill Weed,13.60000038,FIBTG
5727,Oriental Mix,13.19999981,FIBTG
6180,Wheat Germ,13.19999981,FIBTG
6177,Wheat,12.69999981,FIBTG
208,Ginger,12.5,FIBTG
2192,Apples,12.39999962,FIBTG
3556,Tomatoes,12.30000019,FIBTG
6181,Wheat Flour,12.19999981,FIBTG
